,geneSymbol,moduleColor,GSsubtype,p.GSsubtype,MM.turquoise,p.MMturquoise,MM.green,p.MMgreen,MM.yellow,p.MMyellow,MM.grey,p.MMgrey,MM.blue,p.MMblue,MM.pink,p.MMpink,MM.red,p.MMred,MM.black,p.MMblack,MM.brown,p.MMbrown
PARP14,PARP14,black,0.130473147014116,0.0111122396312454,0.08378772905095,0.103846396239292,0.185553519520242,0.000286542259856985,0.0447415945177839,0.385706717021823,-0.118991010020776,0.0206669245907676,0.52361743014634,5.35094422609492e-28,0.133882594529609,0.00915805720158461,0.0305333951499325,0.553978514374444,0.871685450679055,1.61801837175764e-118,0.0404709500175065,0.432711173301701
ISG20,ISG20,black,-0.134685149232492,0.00874507210068785,-0.214964958759553,2.49853981481224e-05,-0.289648777717162,9.68312883005428e-09,0.207663686378773,4.73148766139852e-05,-0.21126597424116,3.4623795794775e-05,0.381043228046562,1.65070690059625e-14,-2.65554309003984e-05,0.999589419273879,-0.0652586717848831,0.205541266513125,0.503996095661834,9.59175188923379e-26,-0.0643168244145089,0.212172949537569
SAMD9,SAMD9,black,0.134763655298178,0.00870557768141437,0.138599874681528,0.00695895331905865,0.264970329944017,1.71082245127691e-07,-0.0721754610498771,0.161384327260284,-0.0996515404208011,0.052885863224554,0.527533167813829,1.8235952885635e-28,0.0592945294423035,0.250139156976631,0.19037654800424,0.000196720629488539,0.818183788938876,2.10607208091973e-92,0.162099185195814,0.00156652727971683
IFITM1,IFITM1,black,0.140875600156667,0.00607772431172839,0.161601987394993,0.00162023081217405,-0.131766264861488,0.0103314046186322,-0.162878418188632,0.00148563653354127,0.0125200157503072,0.808299585531497,0.292845369164076,6.53721429489099e-09,0.0598022701974568,0.246099044057776,0.0627092746142481,0.223845076621932,0.724799233716427,8.19949755024848e-63,0.141159266275563,0.00597520962468308
PYCARD,PYCARD,black,0.144096871771983,0.00500132964214679,0.24438623763967,1.51850791823612e-06,-0.0888818123985945,0.084391726382966,-0.309703905353761,7.58730523920368e-10,-0.0175854760419404,0.733258112061626,0.21290820538,2.99759997981364e-05,0.0712495837487547,0.166842824815895,0.14418228390878,0.00497528668614527,0.347055749211013,3.86217295354805e-12,0.150338276310615,0.00339072220450198
OAS3,OAS3,black,0.153017062476873,0.00285696476130589,0.112891198428433,0.0281918343307545,0.129563913244684,0.0116920989475034,0.164622936432668,0.00131825128058192,-0.197608463935381,0.000109990194586947,0.33976340956461,1.14627763462676e-11,0.000703615040922586,0.989121552070442,-0.0329487093917308,0.523051982793757,0.87764781956244,3.8093862257925e-122,-0.028899516634724,0.575392846003313
OAS1,OAS1,black,0.158250352264829,0.00202857322382436,0.146844932169683,0.00422225227130176,-0.0347429415186141,0.500663471842686,0.0120723970225278,0.815027370739962,-0.275643157772022,5.11543979620123e-08,0.328928305223306,5.48024864684686e-11,0.00644516582459376,0.900606968752182,-0.0180822793215168,0.726020513202096,0.879280040630258,3.58478456680131e-123,-0.0161694516574764,0.754015231407939
IFIT1,IFIT1,black,0.158700161566404,0.00196878458017366,0.159583331231127,0.00185605636645348,0.00131343248928361,0.979694846303654,-0.0492504558983643,0.339604687304774,-0.212730377053378,3.04491953285242e-05,0.32671349762366,7.48929983518826e-11,-0.00875240077464834,0.865320167444077,0.0710761711639084,0.167880366450046,0.911752999228835,2.26315010617064e-147,0.0445326820782633,0.387931220516809
IFI44,IFI44,black,-0.166390848984216,0.00116646123144709,-0.246007831353248,1.2872896664272e-06,-0.181434417071904,0.000392206057252354,0.219441676250243,1.67070447046313e-05,-0.0402806186501236,0.434880143569314,0.534447961149413,2.63244316229768e-29,0.0321711703166156,0.532910720002081,-0.00363208243368263,0.94388952879419,0.861807715578328,6.86990615459654e-113,0.0566769775959113,0.271698012790085
IFIH1,IFIH1,black,-0.172225432691199,0.000772360701984885,-0.205236335379884,5.82208120870781e-05,0.00404477688444494,0.937526320458613,0.188279307850884,0.000231937145554568,-0.0186401821490301,0.717921770960431,0.511715349602299,1.2964326241144e-26,-0.0524976846832631,0.308681102394317,-0.0280706568236637,0.586403167846247,0.814574115042315,5.86434597925159e-91,0.00710602663555913,0.890476632850125
CMTM4,CMTM4,black,-0.188049140740265,0.000236141933688615,-0.159476134269199,0.00186941684323622,0.215325955356132,2.41950360013378e-05,0.12321536329126,0.0165395739811631,0.0031909481914498,0.950695176828923,-0.110951608600337,0.0310318338118751,-0.0639195815876766,0.21501567585611,-0.176512473081023,0.000565723997598386,-0.369039348144371,1.22067996782615e-13,0.00519974607071232,0.919740598206141
UBE2L6,UBE2L6,black,0.191604193877175,0.000178496794047478,0.127637436722506,0.0130097496692266,-0.0634032703503784,0.218751190949268,-0.0289380156059351,0.574883810773103,-0.143818960753295,0.00508691909080176,0.420190751659569,1.33103522638889e-17,0.0205361275171198,0.690639338510662,-0.0178896189487868,0.728824404543124,0.823705027133637,1.12282832050698e-94,-0.0157783362304132,0.759780556933419
PRIC285,PRIC285,black,0.19875173846856,0.00010013813615081,0.168967743900138,0.000973858213123453,0.250028422208055,8.50429887349851e-07,0.0971345630379126,0.0591978880447467,-0.178211919675709,0.000499045981827857,0.198851360368015,9.93201533757296e-05,0.0850198339418163,0.0988428520595624,0.00635260251984089,0.902027198561041,0.690702165384043,6.93403384004712e-55,-0.0502690486039602,0.3296984288391
